no,website,responseStart,domInteractive,domComplete,nextHopProtocol
3168,https://www.wowkeren.com,693.4299999993527,2040.289999999004,3016.924999999901,h2
3187,https://www.fanfiction.net,39.73500000029162,351.25499999958265,583.5299999998824,h2
3230,https://www.akhbarelyom.com,190.5750000005355,1837.1999999999389,2088.690000000497,h2
3242,https://www.law.com,689.3650000001799,1946.7050000002928,14458.819999999832,h2
3251,https://www.google.com.bd,123.75499999870954,451.680000000124,1150.3149999989546,h2
3305,https://www.worldwildlife.org,380.8100000005652,1335.9249999994063,2388.6249999995925,h2
3306,https://www.whitepages.com,42.43500000120548,200.6149999997433,260.8749999999418,h2
3317,https://www.google.no,119.80000000039581,364.11500000031083,973.0600000002596,h2
3327,https://www.roozaneh.net,201.61000000007334,260.9900000006746,580.7399999994232,h2
3328,https://www.panoramio.com,53.41000000044005,312.47000000075786,329.55000000038126,h2
3344,https://www.wpastra.com,1132.2949999994307,2807.505000000674,4553.695000000516,h2
3353,https://www.ad4m.at,46.51999999987311,206.94000000003143,213.08999999928346,h2
3356,https://www.standardmedia.co.ke,567.0750000008411,754.4550000002346,1371.2699999996403,h2
3357,https://www.css-tricks.com,338.0699999997887,1940.2350000000297,2298.4400000004825,h2
3366,https://www.royalcbd.com,44.63500000019849,279.06000000075437,465.5450000009296,h2
3417,https://www.google.kz,107.07000000002154,437.88000000131433,1224.8900000013236,h2
3422,https://www.leo.org,238.7250000010681,1257.3100000008708,3330.6549999997515,h2
3446,https://www.poki.com,197.96999999925902,778.9799999991374,4748.499999999694,h2
3460,https://www.googlecode.com,44.68999999880907,272.2649999996065,309.52499999875727,h2
3483,https://www.parliament.uk,114.90500000036263,266.5149999993446,2710.189999999784,h2
3491,https://www.vecteezy.com,549.6399999992718,1189.6249999990687,5151.615000000675,h2
3529,https://www.uptobox.com,203.00499999939348,1147.9550000003655,1453.4650000005058,h2
3564,https://www.adbtc.top,160.2949999996781,658.9399999993475,986.4799999995739,h2
3603,https://www.glassdoor.co.in,608.4949999985838,1072.8499999986525,7201.755000000048,h2
3622,https://www.adskeeper.co.uk,477.04499999963446,2094.6050000002288,2307.134999999107,h2
3652,https://www.ghanaweb.com,97.2700000002078,503.0450000012934,1469.8500000013155,h2
3659,https://www.blogspot.com.br,1288.2699999991019,1731.0099999995145,1998.939999999493,h2
3695,https://www.google.lt,140.1000000005297,527.3550000001705,1472.0700000016222,h2
3718,https://www.blogspot.nl,727.8850000002421,1208.505000000514,1392.9399999997258,h2
3728,https://www.marinetraffic.com,123.89499999881082,320.0399999986985,5534.499999999753,h2
3731,https://www.esheeq.net,55.29000000024098,226.20000000097207,244.90999999943597,h2
3749,https://www.whatismyipaddress.com,517.7050000002055,755.5600000014238,1001.9600000014179,h2
3770,https://www.blogspot.jp,743.8750000001164,1291.2899999992078,1505.1249999996799,h2
3773,https://www.watanserb.com,416.0699999993085,3476.670000000013,8287.744999999632,h2
3798,https://www.schema.org,145.49499999884574,531.4299999990908,852.7899999990041,h2
3829,https://www.google.com.qa,113.53500000041095,449.2100000006758,1406.9450000006327,h2
3854,https://www.google.co.ma,115.98500000036438,534.895000000688,1518.9350000000559,h2
3860,https://www.thriveglobal.com,599.4300000002113,1323.5350000013568,1938.6000000013155,h2
3912,https://www.adyen.com,62.95999999929336,1567.1599999986938,4611.524999998437,h2
3916,https://www.zoomit.ir,333.12999999907333,1110.8599999988655,1980.569999999716,h2
3917,https://www.tasteofhome.com,71.27500000024156,1674.5950000004086,10603.494999999384,h2
3923,https://www.google.com.ly,106.5600000001723,737.3050000005605,1423.945000000458,h2
3942,https://www.google.by,258.2349999993312,1000.9499999996478,1662.7749999988737,h2
3955,https://www.vklass.se,729.9199999997654,2574.1799999996147,3098.099999999249,h2
3987,https://www.beauty321.com,2060.8100000008562,2746.885000000475,4011.1649999998917,h2
3988,https://www.jagonews24.com,1165.9049999998388,4972.125000000233,7692.329999999856,h2
4034,https://www.crowd1.com,638.7249999988853,1898.8900000003923,2447.3550000002433,h2
4037,https://www.golang.org,642.3700000013923,1176.5250000007654,3975.86500000034,h2
4043,https://www.ennaharonline.com,236.15999999856285,3566.595000000234,8014.374999998836,h2
4057,https://www.turbo.az,529.4100000010076,3210.895000000164,6500.355000000127,h2
4091,https://www.tap.az,526.0349999989558,1287.1049999994284,6293.77999999997,h2
4103,https://www.google.com.ec,383.944999999585,959.1650000002119,2750.369999999748,h2
4144,https://www.telugustop.com,958.3949999996548,3228.8549999993847,9115.485000000263,h2
4154,https://www.laleggepertutti.it,786.0450000007404,5881.000000001222,19407.56500000134,h2
4166,https://www.omegle.com,44.1949999985809,1220.034999998461,2961.199999999735,h2
4171,https://www.hltv.org,398.6300000015035,2916.8100000006234,7492.01499999981,h2
4187,https://www.whmcs.com,543.7400000009802,1828.204999999798,3489.340000000084,h2
4238,https://www.google.com.do,463.1050000007235,1078.6900000002788,3289.7250000005442,h2
4243,https://www.socialmediaexaminer.com,566.3449999992736,2576.885000000402,10052.320000000691,h2
4252,https://www.vitalsource.com,468.81500000017695,1742.165000001478,7591.150000000198,h2
4253,https://www.jut.su,305.78500000046915,1863.0099999991216,9515.219999999317,h2
4303,https://www.fragrantica.com,468.3100000002014,975.7050000007439,2718.109999999797,h2
4313,https://www.pmi.org,312.7150000000256,619.1900000012538,749.6399999999994,h2
4315,https://www.androidpolice.com,245.45500000022002,5728.030000000217,31712.77999999984,h2
4329,https://www.annals.org,1963.644999999815,5022.564999999304,10310.894999998709,h2
4337,https://www.coingecko.com,212.59999999892898,5254.589999998643,10281.229999998686,h2
4338,https://www.acpjournals.org,187.15500000143948,3252.3350000010396,9000.83000000086,h2
4368,https://www.google.com.kw,202.47500000004948,812.3799999993935,2768.8799999996263,h2
4390,https://www.fishki.net,994.3299999995361,8755.755000000136,156043.61500000051,h2
4404,https://www.corporatefinanceinstitute.com,1427.0350000006147,3504.515000000538,7257.825000000594,h2
4410,https://www.rapidtables.com,511.4799999992101,1472.6299999983894,4561.589999999342,h2
4491,https://www.google.com.ng,213.53999999882944,545.8749999997963,2052.8599999997823,h2
4499,https://www.blogspot.ru,1369.5500000012544,2980.8950000006007,3575.4450000004,h2
4525,https://www.scitation.org,1083.7049999990995,5280.955000000176,9599.664999999732,h2
4553,https://www.pianmenw.com,234.60499999964668,534.445000001142,728.2699999996112,h2
4562,https://www.sportzwiki.com,1067.6500000008673,5230.250000000524,14290.52000000047,h2
4568,https://www.bibox.com,1489.7299999993265,5488.68500000026,23239.344999999958,h2
4575,https://www.rae.es,291.7149999993853,2240.9499999994296,2959.100000000035,h2
4661,https://www.google.lv,187.26500000047963,547.6850000013656,1720.63000000162,h2
4669,https://www.encuentra24.com,708.054999999149,3319.224999999278,7311.569999999847,h2
4680,https://www.google.iq,201.70499999949243,1055.7150000004185,2239.1650000008667,h2
4735,https://www.shahid4u.one,1022.7799999993294,4751.0199999996985,7695.724999999584,h2
4742,https://www.blogspot.se,1035.6400000000576,2963.630000000194,3058.215000000928,h2
4745,https://www.smartinsights.com,188.5149999998248,1994.2150000006222,5441.140000000814,h2
4766,https://www.warriorplus.com,954.4599999990169,4254.049999999552,7212.569999999687,h2
4843,https://www.harrods.com,484.12500000085856,5749.345000000176,5895.575000000463,h2
4878,https://www.annualreviews.org,532.4049999999261,3010.5600000006234,4739.380000000892,h2
4902,https://www.hostinger.com,192.46500000008382,3162.109999999302,7444.424999999683,h2
4915,https://www.hse.gov.uk,227.43000000082247,1298.7100000009377,3018.3799999995244,h2
4957,https://www.clickagy.com,662.0449999991251,2978.9749999999913,57262.109999999666,h2
5007,https://www.crisp.chat,416.75000000032014,720.2699999998003,2245.824999999968,h2
5012,https://www.googleoptimize.com,3.0549999992217636,78.2599999984086,226.17999999965832,h2
5019,https://www.linode.com,48.80500000035681,734.1599999999744,1519.110000001092,h2
5033,https://www.google.co.ao,417.36499999933585,915.9049999998388,2250.5099999998492,h2
5058,https://www.google.si,198.40000000112923,957.2400000015477,1524.3850000006205,h2
5069,https://www.16personalities.com,253.26000000131899,2535.4000000006636,2834.405000001425,h2
5099,https://www.mynewsdesk.com,632.499999999709,1707.684999999401,3143.400000000838,h2
5109,https://www.runescape.wiki,561.825000000681,1504.335000001447,2728.2300000006217,h2
5122,https://www.fullhdfilmizlesene.com,231.85999999986961,809.8200000003999,1064.604999999574,h2
5153,https://www.cettire.com,468.8749999986612,2592.559999999139,4338.1049999989045,h2
5160,https://www.parade.com,162.15999999985797,417.0350000003964,776.2149999998655,h2
5161,https://www.wordcounter.net,540.3150000001915,1749.5799999996962,2041.175000000294,h2
5305,https://www.slidesgo.com,206.76999999886903,1926.8749999991996,3951.584999998886,h2
5324,https://www.jamendo.com,437.08499999956985,965.6799999993382,1542.524999998932,h2
5345,https://www.colourpop.com,485.36500000045635,2573.355000000447,6523.105000000214,h2
5377,https://www.google.tn,228.02500000034343,978.8799999987532,1919.0099999996164,h2
5386,https://www.google.org,165.8900000002177,724.9300000003132,746.6850000000704,h2
5408,https://www.google.jo,173.8050000003568,525.0750000013795,1538.7150000005931,h2
5429,https://www.yalla-shoot.com,169.12500000034925,921.7050000006566,2953.154999999242,h2
5432,https://www.lasvegassun.com,948.050000000876,2707.7300000000832,7791.784999999436,h2
5450,https://www.tweaktown.com,160.44999999940046,769.3400000007387,1937.0450000005803,h2
5457,https://www.vu.nl,1065.020000000004,2570.995000000039,3805.115000001024,h2
5466,https://www.fresherslive.com,65.41999999899417,574.8750000002474,1229.2500000003201,h2
5481,https://www.google.com.uy,660.280000000057,1218.6899999996967,1956.67499999945,h2
5482,https://www.taroot-rangi.com,55.9400000001915,1061.6700000009587,242278.78000000055,h2
5544,https://www.pressherald.com,150.59000000110245,1275.7300000012037,2752.9750000012427,h2
5587,https://www.redgifs.com,460.3950000000623,1221.1650000008376,1959.4600000000355,h2
5590,https://www.indosport.com,416.66000000077474,2997.0050000010815,5470.435000001089,h2
5647,https://www.pjmedia.com,989.7450000007666,1908.1200000000536,2985.8899999999267,h2
5655,https://www.friendfeed.com,0.6599999996979022,77.71499999944353,84.27999999912572,
5675,https://www.piliapp.com,132.22999999925378,274.6150000002672,353.7049999995361,h2
5678,https://www.nation.africa,74.40499999938766,308.64499999916006,1564.4249999986641,h2
5681,https://www.storeboard.com,242.2499999993306,327.6850000002014,392.7800000001298,h2
5682,https://www.lihkg.com,296.0700000003271,333.78500000071654,382.8350000003411,h2
5685,https://www.mundosexanuncio.com,394.43499999833875,635.4799999990064,654.339999999138,h2
5688,https://www.avgle.com,128.75499999972817,1557.6700000001438,7847.040000000561,h2
5727,https://www.ficbook.net,282.14000000116357,985.0249999999505,2648.8200000003417,h2
5742,https://www.bloombergquint.com,87.77000000009139,493.02499999976135,1903.150000000096,h2
5789,https://www.brstej.com,397.41999999932887,799.2749999993976,1105.2550000003976,h2
5810,https://www.ole.com.ar,898.959999998624,1446.925000000192,2058.5099999989325,h2
5824,https://www.tensorflow.org,278.5349999994651,591.1900000010064,3239.78999999963,h2
5855,https://www.gab.com,584.7649999996065,1097.3099999991973,2821.4999999981956,h2
5904,https://www.ilfattoquotidiano.it,56.04999999923166,1169.59499999939,2292.685000000347,h2
5933,https://www.mtlnovel.com,198.84499999898253,453.19500000005064,975.28500000044,h2
5953,https://www.ufreegames.com,64.5650000005844,318.0350000002363,1592.1400000006543,h2
5971,https://www.jbhifi.com.au,333.21000000069034,1687.260000000606,2719.984999999724,h2
5977,https://www.secnews.gr,70.49999999981083,789.4149999992806,955.244999999195,h2
6022,https://www.fashionnova.com,286.91000000071654,568.0850000007922,1132.0599999999104,h2
6073,https://www.openclassrooms.com,1332.7850000005128,1461.6750000004686,1514.3349999998463,h2
6095,https://www.onlinekhabar.com,101.07499999867287,1391.3249999986874,3007.7949999995326,h2
6104,https://www.googlegroups.com,901.0600000001432,0.0,0.0,h2
6112,https://www.exe.io,187.5049999998737,267.10000000093714,552.0100000012462,h2
6120,https://www.texastribune.org,1001.7950000001292,1242.2700000006444,2132.2650000001886,h2
6163,https://www.dailypost.ng,435.57999999939057,525.41999999994,1670.9949999985838,h2
6164,https://www.betfair.com,242.41500000061933,806.7100000007486,1559.5649999995658,h2
6181,https://www.faceit.com,196.93499999993946,2608.6250000007567,3658.610000000408,h2
6234,https://www.shapeways.com,1788.5350000015023,3063.51000000177,3729.315000000497,h2
6282,https://www.fontspace.com,407.4899999995978,769.719999998415,1468.0399999997462,h2
6325,https://www.mosaiquefm.net,333.2849999987957,2213.60999999888,2978.2199999990553,h2
6344,https://www.psychiatryonline.org,2494.6600000002945,3239.240000000791,4687.229999999545,h2
6373,https://www.alternativeto.net,557.6149999997142,991.7649999988498,1423.3949999998003,h2
6380,https://www.google.ba,126.68499999927008,259.0299999992567,552.7799999999843,h2
6453,https://www.armorgames.com,548.9550000002055,1594.3650000008347,3280.290000000605,h2
6455,https://www.kingston.com,910.955000001195,2055.775000000722,3294.1250000003492,h2
6528,https://www.truthout.org,109.36000000037893,897.8450000013254,1766.590000001088,h2
6532,https://www.die.net,807.8850000001694,1515.1949999999488,1569.5200000009208,h2
6557,https://www.thehackernews.com,422.3999999994703,590.7999999999447,607.399999998961,h2
6581,https://www.google.com.mm,165.37500000049477,337.149999999383,587.9349999995611,h2
6617,https://www.lowyat.net,275.99999999983993,973.5000000000582,1323.29000000027,h2
6618,https://www.gigazine.net,1415.2650000014546,2218.685000001642,5130.810000000565,h2
6677,https://www.a2hosting.com,1566.499999998996,2416.4199999995617,2748.4850000000733,h2
6689,https://www.connectad.io,609.9249999988388,1091.1899999991874,1539.9649999999383,h2
6690,https://www.google.ee,108.57000000032713,295.8550000003015,589.0850000014325,h2
6692,https://www.google.com.sv,110.4750000013155,252.34000000091328,560.6600000010076,h2
6696,https://www.google.com.cu,369.2250000003696,478.93500000100175,760.5100000000675,h2
6701,https://www.jugantor.com,330.1849999988917,1149.3699999991804,1497.5149999991118,h2
6736,https://www.hkgolden.com,675.9500000007392,1288.9599999998609,2319.455000000744,h2
6742,https://www.nobitex.ir,899.1750000004686,1092.4599999998463,1912.6450000003388,h2
6746,https://www.google.com.gt,106.48500000024796,220.43000000121538,539.8450000011508,h2
6755,https://www.okp.com,0.21999999989930075,366.7800000002899,371.2949999990087,
6759,https://www.mg.co.za,133.75499999892781,1459.1749999999593,1960.5099999989761,h2
6808,https://www.sennheiser.com,112.94000000089,251.7600000010134,540.1900000015303,h2
6819,https://www.google.cm,129.6650000003865,317.32499999998254,586.5649999996094,h2
6837,https://www.google.co.cr,117.39000000125088,222.95500000109314,513.2900000007794,h2
6889,https://www.bulbagarden.net,333.0150000001595,735.1400000006834,3229.2300000008254,h2
6930,https://www.whatismyip.com,1198.1049999994866,1696.8999999990046,2916.0499999998137,h2
6951,https://www.mind.org.uk,194.90500000028987,798.9350000007107,1015.2349999989383,h2
6959,https://www.wuxiaworld.com,84.74500000011176,639.8900000003778,1003.6700000000565,h2
6984,https://www.camelcamelcamel.com,36.60499999932654,99.31999999935215,101.85000000092259,h2
6993,https://www.google.com.bo,113.13999999947555,224.43500000008498,513.05499999944,h2
7031,https://www.yummly.com,49.994999999398715,964.7700000004988,1079.6100000006845,h2
7096,https://www.jagodangdut.com,88.70999999999185,393.9150000005611,533.7749999998778,h2
7105,https://www.google.com.np,117.52999999953317,304.1799999991781,594.9149999996735,h2
7131,https://www.sammobile.com,268.1700000011915,323.48500000080094,667.7049999998417,h2
7139,https://www.businessoffashion.com,96.74500000073749,2018.5900000014954,3222.635000000082,h2
7170,https://www.blogspot.be,1242.7299999999377,1477.6250000013533,1524.8449999999139,h2
7188,https://www.goop.com,1230.2049999998417,2851.8800000001647,4104.349999999613,h2
7224,https://www.enotes.com,78.31000000078348,284.1900000003079,436.3900000007561,h2
7254,https://www.rawgit.com,442.3000000006141,704.025000000911,764.8349999999482,h2
7268,https://www.cyberciti.biz,76.26999999956752,157.73999999873922,349.4799999989482,h2
7311,https://www.smadex.com,488.18000000028405,1702.4750000000495,2194.804999999178,h2
7317,https://www.beforeitsnews.com,1061.3499999999476,2028.38999999949,4598.244999999224,h2
7322,https://www.skyscrapercity.com,304.7449999994569,1269.0999999995256,1804.599999999482,h2
7332,https://www.google.com.py,139.9650000003021,435.70999999974447,831.1100000009901,h2
7365,https://www.google.com.bh,136.65500000024622,375.6499999999505,780.6100000016158,h2
7374,https://www.keywordtool.io,604.5999999987544,1068.5099999991508,1834.179999999833,h2
7383,https://www.listverse.com,1324.770000001081,1450.829999999769,1584.2250000005151,h2
7422,https://www.sportsmansoutdoorsuperstore.com,788.7000000009721,1471.110000000408,1852.4400000005699,h2
7461,https://www.opensubtitles.org,210.06499999930384,919.7299999996176,1142.0500000003813,h2
7467,https://www.gymshark.com,304.55000000074506,1400.7799999999406,2719.9099999997998,h2
